businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,firecrawlQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"BEST ENERGY POWER","best energy power","610","15","78","2026-04-01","2026-07-31","East Hampton | Ronkonkoma | Port Jefferson Station | Riverhead | Amityville | Massapequa | Westbury | Great Neck","Suffolk | Nassau | Queens | Kings | Richmond | New York | Bronx | Westchester","404","Find official domain, then audit careers/jobs pages for detailed solar offers.","""BEST ENERGY POWER"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 11, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 5s, resets at Tue Aug 25 2026 17:31:02 GMT+0000 (Coordinated Universal Time)""}"
"PowerFlex Solar, LLC","powerflex solar","77","14","10","2026-04-15","2025-09-03","Ronkonkoma | Holtsville | Islip Terrace | Hauppauge | Sayville | Westbury | Mineola | Port Washington","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Orange","192","Find official domain, then audit careers/jobs pages for detailed solar offers.","""PowerFlex Solar, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 12, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 4s, resets at Tue Aug 25 2026 17:31:02 GMT+0000 (Coordinated Universal Time)""}"
"Green Street Power Partners, LLC","green street power partners","432","13","11","2026-01-28","2026-07-07","Shoreham | Oyster Bay | Massapequa | Fresh Meadows | College Point | Jamaica | Ozone Park | Rockaway Park","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","187","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Green Street Power Partners, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 13, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 2s, resets at Tue Aug 25 2026 17:31:02 GMT+0000 (Coordinated Universal Time)""}"
"Lightstar Renewables LLC","lightstar renewables","13","13","8","2026-06-17","","Montgomery | Ulster | Slate Hill | New Windsor | Walden | Chester | Hannacroix | Florida","Orange | Ulster | Greene | Dutchess | Saratoga | Jefferson","141","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Lightstar Renewables LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 14, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 1s, resets at Tue Aug 25 2026 17:31:02 GMT+0000 (Coordinated Universal Time)""}"
"Generate Capital","generate capital","98","12","22","2025-01-15","2026-06-10","Crown Point | Lyons | Baldwinsville | Westtown | Otisville | Port Jervis | Montgomery | Goshen","Essex | Wayne | Onondaga | Orange | Sullivan | Greene | Albany | Ulster","212","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Generate Capital"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 15, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 1s, resets at Tue Aug 25 2026 17:31:02 GMT+0000 (Coordinated Universal Time)""}"
"AMS Construction Corp","ams construction","27","12","16","2025-12-10","2025-04-22","Astoria | Brooklyn | Staten Island | New York | Bronx | Germantown","Queens | Kings | Richmond | New York | Bronx | Columbia","171","Find official domain, then audit careers/jobs pages for detailed solar offers.","""AMS Construction Corp"" solar contractor New York official website","amsepc.com","https://www.amsepc.com/","AMS Renewable Energy | Solar Construction & EPC Experts","Headquartered in White Plains, NY, AMS is a licensed contractor operating nationwide. ... © 2026 AMS Construction Corp. A: 4 W Red Oak Lane, White Plains, NY ...","candidate_found",""
"Abundant Solar Power Inc.","abundant solar power","24","12","12","2026-05-20","2025-10-17","Middletown | Buffalo | Skaneateles Falls | Conklin | Cazenovia | Syracuse | East Syracuse | Elmira","Delaware | Erie | Onondaga | Broome | Madison | Chemung | Wayne | Monroe","156","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Abundant Solar Power Inc."" solar contractor New York official website","nyseia.org","https://www.nyseia.org/Members/abundant-solar-power-inc.","Abundant Solar Power Inc. - nyseia","Abundant Solar Power Inc. is a wholly owned subsidiary of SolarBank Corp (Nasdaq: SUUN), a developer, builder, owner and operator of solar and storage ...","candidate_found",""
"RP New York Solar, LLC","rp new york solar","12","11","9","2026-02-18","2026-06-08","East Berne | Phoenix | Fulton | Central Square | Brewerton | Little Falls | Baldwinsville | Burt","Albany | Onondaga | Oswego | Herkimer | Niagara | Allegany | Cattaraugus","127","Find official domain, then audit careers/jobs pages for detailed solar offers.","""RP New York Solar, LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/PTC/der","NYS Power To Choose - Search / Commission Files","New York, NY, 10004. (917) 463-0421. Community Distributed Generation. Solar. RP New York Solar, LLC, Radial Power. 423 W. 55th Street 7th Floor New York, NY, ...","candidate_found",""
"OYA SOLAR NY L.P.","oya solar ny l p","17","11","0","2022-09-13","2023-06-13","Watertown | Clayton | Constable | Pulaski | Baldwinsville | Burt | Piffard | Cattaraugus","Jefferson | Franklin | Oswego | Onondaga | Niagara | Livingston | Cattaraugus | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers.","""OYA SOLAR NY L.P."" solar contractor New York official website","greenbank.ny.gov","https://greenbank.ny.gov/-/media/Project/Greenbank/Files/NYGB-Transaction-Profile-OYA-Solar.pdf","NY Green Bank Transaction Profile - OYA Solar Inc.","OYA Solar NY, LP and OYA Solar US. G.P.. Energy Project Developer. 1. Case 13-M-0412. 2. Defined as projects located in four or more regions of the State. Page ...","candidate_found",""
"Dimension Energy LLC","dimension energy","19","10","7","2025-11-21","2026-06-23","Heuvelton | Galway | Canton | Lowville | New Woodstock | Skaneateles | Parish | Palmyra","St Lawrence | Saratoga | Lewis | Madison | Onondaga | Oswego | Wayne | Chenango","120","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Dimension Energy LLC"" solar contractor New York official website","townofcortlandtny.gov","https://www.townofcortlandtny.gov/uppages/DIMENSION-CROTON%20AVENUE%20SOLAR%20PROJECT-NARRATIVE%2020190418.PDF","Project Description","Page 1. Project Description. Dimension Energy LLC (Applicant) proposes to construct and operate a ground mounted fixed tilt photovoltaic (PV) community solar ...","candidate_found",""
"NSF EPC LLC","nsf epc","22","9","12","2026-05-29","2026-06-05","Fishers | Elbridge | Chateaugay | Ithaca | Endicott | Walworth | Norwich | Edmeston","Ontario | Onondaga | Franklin | Tompkins | Broome | Wayne | Chenango | Otsego","130","Find official domain, then audit careers/jobs pages for detailed solar offers.","""NSF EPC LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/nsf-epc-llc/1324247558","Nsf Epc - Overview, News & Similar companies","NSF EPC, LLC specializes in solar energy solutions, focusing on the development and management of solar projects. The company aims to provide sustainable ...","candidate_found",""
"Seaboard Solar Holdings LLC","seaboard solar holdings","9","9","9","2026-01-28","","Valatie | East Greenbush | Waterford | Boonville | Gansevoort","Columbia | Rensselaer | Saratoga | Oneida","108","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Seaboard Solar Holdings LLC"" solar contractor New York official website","nautilussolar.com","https://nautilussolar.com/news/nautilus-set-to-acquire-its-largest-pre-operational-community-solar-portfolio-from-seaboard-solar-holdings","Nautilus to Acquire Largest Pre-Operational Portfolio from ...","... solar projects from Seaboard Solar Holdings, LLC (“Seaboard”). The nine projects in the portfolio are located in New York and are expected ...","candidate_found",""
"New Energy Equity LLC","new energy equity","12","9","7","2025-05-24","2026-07-14","Middletown | Moriah | Newark Valley | Sherburne | Depew | Buffalo | Houghton | Falconer","Orange | Essex | Tioga | Chenango | Erie | Allegany | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers.","""New Energy Equity LLC"" solar contractor New York official website","prnewswire.com","https://www.prnewswire.com/news-releases/nt-solar-celebrates-new-impact-investment-fund--series-of-successful-transactions-302126229.html","NT Solar Celebrates New Impact Investment Fund & Series ...","New Energy Equity LLC, a wholly owned subsidiary of ALLETE (NYSE:ALE), develops, finances, operates, and manages solar power generation assets, ...","candidate_found",""
"Bluewave Public Benefit Corp.","bluewave public benefit","9","9","6","2026-02-18","","Stamford | Fonda | Newport | Binghamton | Johnstown | Albion | Hornell","Delaware | Fulton | Herkimer | Broome | Orleans | Steuben","99","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Bluewave Public Benefit Corp."" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Bluewave Public Benefit Corp. Link opens in new window - close new window to ... RP New York Solar, LLC Link opens in new window - close new window to ...","candidate_found",""
"Scale Microgrid Solutions Operating, LLC","scale microgrid solutions operating","15","8","9","2024-08-23","2026-06-03","Bainbridge | Chemung | Amsterdam | Binghamton | Apalachin | Romulus","Chenango | Chemung | Montgomery | Fulton | Broome | Tioga | Seneca","106","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Scale Microgrid Solutions Operating, LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/scale-microgrid-solutions/406855747","Scale Microgrid Solutions - Overview, News & Similar ...","View contact profiles from Scale Microgrid Solutions. Popular SearchesScale Microgrid SolutionsScale Microgrid Solutions Operating LLCScale MicrogridsSIC ...","candidate_found",""
"SAFARI ENERGY","safari energy","82","8","8","2026-02-17","2022-12-09","Centereach | Riverhead | Ridge | Greenlawn | Bohemia | Huntington Station | Deer Park | Plainview","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","138","Find official domain, then audit careers/jobs pages for detailed solar offers.","""SAFARI ENERGY"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 11, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 4s, resets at Tue Aug 25 2026 17:32:04 GMT+0000 (Coordinated Universal Time)""}"
"Delaware River Solar, LLC","delaware river solar","18","7","7","2026-05-20","2024-12-19","Winfield | Erwin | Corning | Callicoon | Monticello | Woodridge | Narrowsburg | Dryden","Herkimer | Steuben | Sullivan | Tompkins | Chemung | Onondaga | Tioga | Oneida","95","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Delaware River Solar, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 12, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 2s, resets at Tue Aug 25 2026 17:32:04 GMT+0000 (Coordinated Universal Time)""}"
"NYSS LLC","nyss","1814","6","1496","2026-06-16","2026-07-30","Richmond Hill | Queens | Woodside | Melville | Babylon | Copiague | Central Islip | Blue Point","Queens | Suffolk | Nassau | Kings | Richmond | Bronx | New York | Westchester","4586","Find official domain, then audit careers/jobs pages for detailed solar offers.","""NYSS LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 13, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 1s, resets at Tue Aug 25 2026 17:32:04 GMT+0000 (Coordinated Universal Time)""}"
"Sustainable Energy Developments (DBA GreenSpark Solar)","sustainable energy developments dba greenspark solar","1524","6","433","2026-04-21","2026-07-24","Canandaigua | Sodus | Webster | Macedon | Ontario | Weedsport | Walworth | Williamson","Ontario | Wayne | Monroe | Cayuga | Onondaga | Tompkins | Oneida | Otsego","1397","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Sustainable Energy Developments (DBA GreenSpark Solar)"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 14, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 1s, resets at Tue Aug 25 2026 17:32:04 GMT+0000 (Coordinated Universal Time)""}"
"ASA Holdings NY I LLC (dba for Puresky HoldCo, Inc)","asa holdings ny i dba for puresky holdco","34","6","6","2025-04-24","2026-04-16","Castleton on Hudson | Troy | Hudson | Nassau | Corinth | Clayton | Richville | Hermon","Rensselaer | Columbia | Saratoga | Jefferson | St Lawrence | Warren | Schenectady | Oneida","100","Find official domain, then audit careers/jobs pages for detailed solar offers.","""ASA Holdings NY I LLC (dba for Puresky HoldCo, Inc)"" solar contractor New York official website","","","","","no_official_domain_candidate",""
"AES Distributed Energy, Inc.","aes distributed energy","39","6","2","2025-12-10","2026-07-13","Middletown | Otisville | Goshen | Walden | Montgomery | Rock Tavern | Pleasant Valley | Troy","Orange | Dutchess | Rensselaer | Washington | Columbia | Schenectady | Jefferson | Saratoga","93","Find official domain, then audit careers/jobs pages for detailed solar offers.","""AES Distributed Energy, Inc."" solar contractor New York official website","greenbank.ny.gov","https://greenbank.ny.gov/-/media/Project/Greenbank/Files/NYGB-Transaction-Profile_AES-Distributed-Energy.pdf","Continued Support of Distributed Generation in the Northeast ...","... solar projects developed by AES Distributed Energy, Inc. (“AES DE ... construction will support clean energy generation in New York State.","candidate_found",""
"Emes Solar","emes solar","230","5","124","2026-05-08","2026-06-22","Far Rockaway | Atlantic Beach | Lawrence | Oakland Gardens | Long Beach | South Richmond Hill | Bayside | Flushing","Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester | Rockland","462","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Emes Solar"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/emes-solar-inc/556936718","Emes Solar - Overview, News & Similar companies | ZoomInfo.com","What is Emes Solar's official website? Emes Solar's official website is www.emessolar.com. Sign Up For FreeTo access detailed company insights.","candidate_found",""
"Montante Solar","montante solar","100","5","30","2026-03-06","2026-03-19","Montgomery | Vernon | East Syracuse | Webster | Buffalo | Tonawanda | Albion | Niagara Falls","Orange | Oneida | Onondaga | Monroe | Erie | Orleans | Niagara | Chautauqua","180","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Montante Solar"" solar contractor New York official website","montantesolar.com","https://www.montantesolar.com/","Montante Solar | Solar Energy Services in Buffalo and ...","# Solar Power & Storage Made Simple.
## Our Approach To Solar
![Montante Solar | Buffalo, NY | Western New York](https://www.montantesolar.com/wp-content/uploads/2020/10/streamline-icon.svg)

### Streamlined Process
![Montante Solar | Buffalo, NY | Western New York](https://www.montantesolar.com/wp-content/uploads/2020/10/streamline-icon.svg)

### Persistent Effort
![Montante Solar | Buffalo, NY | Western New York](https://www.montantesolar.com/wp-content/uploads/2020/10/streamline-icon.svg)

### Solutions-Driven
![Montante Solar | Buffalo, NY | Western New York](https://www.montantesolar.com/wp-content/uploads/2020/10/streamline-icon.svg)","candidate_found",""
"U.S. Light Energy (dba for Solitude Solar, LLC)","u s light energy dba for solitude solar","9","5","5","2025-04-24","2022-09-23","Bloomingburg | Selkirk | Carthage | Chateaugay | Rexford | Red Creek | Albion","Orange | Albany | Jefferson | Franklin | Saratoga | Lewis | Cayuga | Orleans","64","Find official domain, then audit careers/jobs pages for detailed solar offers.","""U.S. Light Energy (dba for Solitude Solar, LLC)"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname","Find A Contractor NYSun","U.S. Light Energy (dba for Solitude Solar, LLC) Link opens in new window - close new window to return to this page. 830 New Loudon Rd. Latham, New York 12110.","candidate_found",""
"Haugland Energy LLC","haugland energy","5","5","5","2025-08-15","","Staten Island","Richmond","60","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Haugland Energy LLC"" solar contractor New York official website","online.incident-prevention.com","https://online.incident-prevention.com/april-may-2021/page-41","April May 2021 • Page 41","Hallen Construction Harlan Electric Haugland Energy, LLC Hawaiian Electric Co. ... New York Power Authority New York State Electric and Gas Newkirk ...","candidate_found",""
"Group-S LLC dba EN-POWER GROUP","group s dba en power group","5","5","0","2021-12-01","","Glen Oaks | Bellerose","Queens","45","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Group-S LLC dba EN-POWER GROUP"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorRetailStorage","FindAContractor RetailStorage","# Fix
| Company | NY-Sun Contractor |
|-|-|
| [Group-S LLC dba EN-POWER GROUP<br> ![Link opens in new window - close new window to return to this page.](https://www.nyserda.ny.gov/-/media/58A58B7906454CAB855911C76045ADDB.ashx)](https://www.enpg.com/)<br>Michael Scorrano <br>(914) 263-1199 <br>[mvscorrano@enpg.com](mailto:mvscorrano@enpg.com) | Yes |","candidate_found",""
"Urban Energy Inc.","urban energy","18","4","7","2024-04-19","2024-12-12","Astoria | East Elmhurst | Brooklyn | Staten Island | Bronx | New York | Yonkers | Tuckahoe","Queens | Kings | Richmond | Bronx | New York | Westchester","71","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Urban Energy Inc."" solar contractor New York official website","scalemicrogrids.com","https://www.scalemicrogrids.com/blog/urban-energy-financed-by-scale-closes-innovative-rooftop-community-solar-in-yonkers","Urban Energy, Financed By Scale, Closes Innovative Rooftop ...","BROOKLYN, N.Y.--(BUSINESS WIRE)--Urban Energy Inc. (“Urban Energy”) is announcing an exciting project to develop community solar in New York.","candidate_found",""
"IPPsolar Integration LLC","ippsolar integration","13","4","7","2024-12-11","2026-03-16","Bronx | Bedford | Yorktown Heights | Baldwin Place | Brewster | Purchase | Orangeburg | Cuddebackville","Bronx | Westchester | Putnam | Rockland | Orange | Ulster | Dutchess","66","Find official domain, then audit careers/jobs pages for detailed solar offers.","""IPPsolar Integration LLC"" solar contractor New York official website","greenburghny.com","https://www.greenburghny.com/DocumentCenter/View/15307/Decommissioning-Plan","[PDF] Decommissioning Plan - Greenburgh, NY","Company Name. Phone Number and Email. Project Owner /. Developer. Maziar Dalaeli. IPPSolar Integration LLC. 646.765.4583 mda@ippsolar.com. Site ...","candidate_found",""
"Wildcat Renewables, LLC","wildcat renewables","11","4","4","2025-11-21","2024-09-12","Stuyvesant | Gouverneur | Oswego | East Syracuse | Lockport | Batavia | East Aurora | Marilla","Columbia | St Lawrence | Oswego | Onondaga | Niagara | Genesee | Erie","55","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Wildcat Renewables, LLC"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Link opens in new window - close new window to return to this page. 232 Madison Ave New york, New York 10016. Wildcat Renewables, LLC Link opens in new ...","candidate_found",""
"KSI III Devco, LLC","ksi iii devco","8","4","4","2025-12-10","2026-05-01","Stephentown | Glens Falls | Newfield | Palatine Bridge | Henrietta | Cassadaga | Ellicottville | Fredonia","Rensselaer | Warren | Tompkins | Montgomery | Monroe | Chautauqua | Cattaraugus","52","Find official domain, then audit careers/jobs pages for detailed solar offers.","""KSI III Devco, LLC"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 11, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 14s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
"Finlo Solar","finlo solar","4","4","4","2025-06-04","","Kerhonkson | Whitesboro","Ulster | Oneida","48","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Finlo Solar"" solar contractor New York official website","","","","","search_error","Firecrawl HTTP 429: {""success"":false,""error"":""Rate limit exceeded. Consumed (req/min): 12, Remaining (req/min): 0. Upgrade your plan at https://firecrawl.dev/pricing for increased rate limits or please retry after 13s, resets at Tue Aug 25 2026 17:33:05 GMT+0000 (Coordinated Universal Time)""}"
