licenseNumber,licenseExpirationDate,businessName,contactName,cityStateZip,county,zip,phone,businessAddress,solarSignal,targetScore,nextStep
41667,2027-07-16,BLACK WOLF SOLAR LLC,BLACK WOLF SOLAR LLC,DALLAS TX 75254,DALLAS,75254,8132457071,5769 BELT LINE RD APT 908,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41450,2027-05-12,BRAVO ZULU SOLAR LLC,BRAVO ZULU SOLAR LLC,SPRINGTOWN TX 76082-5478,PARKER,76082,9515056324,805 FEATHER EDGE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35724,2027-03-24,BUMBLEBEE SOLAR LLC,BUMBLEBEE SOLAR LLC,HUMBLE TX 77396-2712,HARRIS,77396,5129861089,13839 COLD SPRING ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38748,2027-03-25,CC SOLAR,CC SOLAR,CORPUS CHRISTI TX 78401-3255,NUECES,78401,3614618362,1212 MARY ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34933,2027-01-05,CENTRAL TEXAS SOLAR LLC,CENTRAL TEXAS SOLAR LLC,SAN ANTONIO TX 78213,BEXAR,78213,2106350007,"1844 LOCKHILL SELMA, SUITE 102A",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33086,2026-11-15,CEP ELECTRIC & SOLAR LLC,CEP ELECTRIC & SOLAR LLC,MCALLEN TX 78501-5977,HIDALGO,78501,9564574510,100 E NOLANA STE 3,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38249,2027-06-22,"CILCIA, LLC VALOR SOLAR","CILCIA, LLC VALOR SOLAR",DAMON TX 77430-8673,BRAZORIA,77430,9799461508,250 COUNTY ROAD 18,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32697,2027-06-01,CIRCLE L SOLAR INC,CIRCLE L SOLAR INC,FORT WORTH TX 76117,TARRANT,76117,8179452011,5620 MIDWAY RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38106,2027-05-24,CMB SOLAR SOLUTIONS LLC,CMB SOLAR SOLUTIONS LLC,EL PASO TX 79912-4655,EL PASO,79912,9158439800,6006 N MESA ST STE 308,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35647,2026-12-30,COMPLETE SOLAR INC,COMPLETE SOLAR INC,OREM UT 84097,OUT OF STATE,84097,3852731825,1403 N RESEARCH WAY,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36372,2027-09-07,CORENERG LLC DBA CORE SOLAR,CORENERG LLC DBA CORE SOLAR,DALLAS TX 75238,DALLAS,75238,8178216504,10840 SANDEN DR STE A,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41598,2027-06-29,CR SOLAR LLC,CR SOLAR LLC,CHICAGO IL 60612-1577,OUT OF STATE,60612,8883378257,2045 W GRAND AVE STE B,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39972,2027-02-18,CREATUM SOLAR LLC,CREATUM SOLAR LLC,HOUSTON TX 77066-1003,HARRIS,77066,7138268593,7109 BELGOLD ST STE A,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41428,2027-05-05,CREDIBLE SOLAR AND ROOFING LLC,CREDIBLE SOLAR AND ROOFING LLC,LITTLE ELM TX 75068-7828,DENTON,75068,9725135293,2915 MORNING STAR DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37519,2026-09-22,CUSTOM PRO ROOFING & SOLAR,CUSTOM PRO ROOFING & SOLAR,DALLAS TX 75229,DALLAS,75229,4053394566,11056 SHADY TRAIL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
22994,2027-08-04,CUSTOM SOLAR ELECTRIC,CUSTOM SOLAR ELECTRIC,AUSTIN TX 78748,TRAVIS,78748,5123760807,10607 ETTA LANE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41187,2027-03-04,DANTE SOLAR REPAIR LLC,DANTE SOLAR REPAIR LLC,AUSTIN TX 78731,TRAVIS,78731,8082891774,"5900 BALCONES DR, STE 100",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37071,2027-05-09,"DAWN TO DUSK SOLAR TEXAS, LLC","DAWN TO DUSK SOLAR TEXAS, LLC",FARMERS BRANCH TX 75234,DALLAS,75234,3233251271,"12901 NICHOLSON ROAD, SUITE 170",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40536,2027-07-29,DETACH RESET SOLAR LLC,DETACH RESET SOLAR LLC,AUSTIN TX 78731-4298,TRAVIS,78731,8008337040,5900 BALCONES DR STE 100,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
29469,2027-03-19,DFW SOLAR ELECTRIC LLC,DFW SOLAR ELECTRIC LLC,FLOWER MOUND TX 75022,DENTON,75022,9728277651,"PMB 192, 2450 LAKESIDE PKWY STE 150",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41673,2027-07-17,DIECO ENERGY SOLAR AND ELECTRICAL,DIECO ENERGY SOLAR AND ELECTRICAL,SAN ANTONIO TX 78209-3232,BEXAR,78209,2109859522,7700 BROADWAY STE 104-1020,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37397,2027-08-19,"DIVIDED SKY ROOFING & SOLAR, LLC","DIVIDED SKY ROOFING & SOLAR, LLC",SAN MARCOS TX 78666-5549,HAYS,78666,5129957663,323 MARIPOSA ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40173,2027-04-14,DT SOLAR LLC,DT SOLAR LLC,BROWNSVILLE TX 78520-9647,CAMERON,78520,9564551866,2422 EL PORTAL ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38061,2027-05-05,E.A. SOLAR & HOME SERVICES LLC,E.A. SOLAR & HOME SERVICES LLC,CONROE TX 77303-3250,MONTGOMERY,77303,7138286534,11462 NEWTON CIR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38038,2027-04-27,EAGLE SOLAR POWER LLC,EAGLE SOLAR POWER LLC,MANSFIELD TX 76063,TARRANT,76063,8179179965,"5740 NEWT PATTERSON ROAD, SUITE B",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40318,2027-05-28,"EARTH SMART SOLAR, LLC","EARTH SMART SOLAR, LLC",SAN ANTONIO TX 78258,BEXAR,78258,2103938233,"SUITE 375, 401 E SONTERRA BLVD",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33539,2027-04-17,EASTEX SOLAR,EASTEX SOLAR,PALESTINE TX 75803-0625,ANDERSON,75803,9038051849,819 AN COUNTRY ROAD 446,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37330,2026-08-28,ECLIPSE SOLAR & HOME SOLUTIONS INC.,ECLIPSE SOLAR & HOME SOLUTIONS INC.,AUSTIN TX 78731-4298,TRAVIS,78731,9178428112,5900 BALCONES DR STE 100,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37060,2027-05-14,EDISON SOLAR LLC,EDISON SOLAR LLC,PLANO TX 75075-4200,COLLIN,75075,2144718467,535 TALBERT DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38497,2026-09-20,ELDRIGE ROOFING & SOLAR,ELDRIGE ROOFING & SOLAR,SPRING TX 77379-3424,HARRIS,77379,2819994663,5907 SPRING CYPRESS RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
31577,2027-02-25,ELEVATION SOLAR LLC,ELEVATION SOLAR LLC,CHANDLER AZ 85286,OUT OF STATE,85286,4804924232,"STE 220, 2425 S STEARMAN DR",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36539,2026-10-21,"ELIAS SOLAR, INC.","ELIAS SOLAR, INC.",HOUSTON TX 77018-5044,HARRIS,77018,7132399133,3403 WTC JESTER BLVD #1119,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35557,2026-11-04,"ELITE SOLAR ARP SOLUTIONS, LLC","ELITE SOLAR ARP SOLUTIONS, LLC",EL PASO TX 79935-5304,EL PASO,79935,9152626507,11199 PELLICANO DR STE C,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38765,2026-12-28,EMPOWER SOLAR INC,EMPOWER SOLAR INC,HOUSTON TX 77066-1216,HARRIS,77066,8003066953,6740 THEALL RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39263,2027-06-18,EMPWR SOLAR LLC,EMPWR SOLAR LLC,MOUNT PLEASANT SC 29464,OUT OF STATE,29464,8549994837,"349 WEST COLEMAN BLVD, SUITE 202",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
25720,2026-11-24,ENGEL SOLAR-ELECTRIC,ENGEL SOLAR-ELECTRIC,CONVERSE TX 78109,BEXAR,78109,2108579688,2727 BRIGHTON PARK,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39448,2026-09-10,ENLIGHT SOLAR SOLUTIONS LLC,ENLIGHT SOLAR SOLUTIONS LLC,SULPHUR SPRINGS TX 75482-3529,HOPKINS,75482,9033483127,107 LOU ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37441,2026-11-11,ENTO PRODUCTIONS INC DBA BRIGHT SOLAR,ENTO PRODUCTIONS INC DBA BRIGHT SOLAR,HOUSTON TX 77066-1024,HARRIS,77066,8179528566,7014 BELGOLD ST STE F,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40035,2027-03-04,EPC SOLAR LLC,EPC SOLAR LLC,ALEDO TX 76008-1844,PARKER,76008,7272674033,675 POINT VISTA DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38512,2026-09-26,EVOLUTION SOLAR SOLUTIONS LLC,EVOLUTION SOLAR SOLUTIONS LLC,MURPHY TX 75094-3728,COLLIN,75094,4697665354,629 ASHLEY PL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35996,2026-11-12,FAMILY SOLAR COMPANY,FAMILY SOLAR COMPANY,FRISCO TX 75034,COLLIN,75034,2147087756,"5300 TOWN AND COUNTRY BLVD, STE 155",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38998,2027-04-25,FRANS SOLAR ELECTRIC,FRANS SOLAR ELECTRIC,UNIVERSAL CITY TX 78148-8154,BEXAR,78148,2109831538,222 EAST WRIGHT BLVD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37970,2027-04-19,GLOBAL SOLAR GROUP,GLOBAL SOLAR GROUP,EL PASO TX 79936,EL PASO,79936,9158206131,11500 PELLICANO DR SUITE A7,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36814,2027-02-09,GLYDE SOLAR LLC,GLYDE SOLAR LLC,PLEASANT GROVE UT 84062,OUT OF STATE,84062,8884445936,"1064 S NORTH COUNTY BLVD, SUITE 260",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41633,2027-07-07,GO SOLAR AND ROOFING LLC,GO SOLAR AND ROOFING LLC,LUBBOCK TX 79404-6174,LUBBOCK,79404,8067861038,7516 INTERSTATE 27 # 26,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35375,2026-11-20,GO SOLAR POWER LLC,GO SOLAR POWER LLC,ADDISON TX 75001,DALLAS,75001,5615088451,15305 DALLAS PARKWAY SUITE 400,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38601,2027-10-10,GOODPWR SOLAR LLC,GOODPWR SOLAR LLC,ARVADA CO 80007,OUT OF STATE,80007,8004003797,16615 W 93RD PL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33940,2026-10-11,GREATER TEXAS SOLAR LLC,GREATER TEXAS SOLAR LLC,MASON TX 76856,MASON,76856,8305073884,131 N LIVE OAK,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32051,2026-11-11,GREEN LIGHT SOLAR LLC,GREEN LIGHT SOLAR LLC,HOUSTON TX 77032-4087,HARRIS,77032,8328128818,"STE 605, 5750 NORTH SAM HOUSTON PKWY E",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
28367,2027-08-17,GREENBELT SOLAR LLC,GREENBELT SOLAR LLC,AUSTIN TX 78745,TRAVIS,78745,5127501478,4808 BROKEN BOW PASS,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41448,2027-05-11,GRIDCRAFT SOLAR,GRIDCRAFT SOLAR,ROUND ROCK TX 78664-8559,WILLIAMSON,78664,5128083746,"1800 CENTRAL COMMERCE CT, STE 600",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32590,2027-04-28,GS SOLAR LLC DBA BIG SUN SOLAR,GS SOLAR LLC DBA BIG SUN SOLAR,SAN ANTONIO TX 78215-1269,BEXAR,78215,2109602303,200 E GRAYSON ST STE 126,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38037,2027-04-27,HARVEST SOLAR INC.,HARVEST SOLAR INC.,GARLAND TX 75040,DALLAS,75040,8887194787,"2050 FOREST LN, STE 370",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36117,2027-06-15,"HARVEST SOLAR OF TEXAS, LLC","HARVEST SOLAR OF TEXAS, LLC",HOUSTON TX 77035,HARRIS,77035,5163510030,11505 CHIMNEY ROCK ROAD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39995,2027-02-21,HDEZ ELECTRIC/SOLAR LLC,HDEZ ELECTRIC/SOLAR LLC,ARLINGTON TX 76015-4326,TARRANT,76015,2145194402,700 HIGHLANDER BLVD STE 505,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39298,2027-07-14,HILL COUNTRY SOLAR LLC,HILL COUNTRY SOLAR LLC,FREDERICKSBURG TX 78624-4227,GILLESPIE,78624,5129245525,135 E MAIN ST STE 221,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40995,2027-01-02,HONEST SOLAR LLC,HONEST SOLAR LLC,AUSTIN TX 78744-3009,TRAVIS,78744,9376268872,4803 CREST OAK RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38653,2026-11-02,HUB CITY SOLAR LLC,HUB CITY SOLAR LLC,LUBBOCK TX 79423-2046,LUBBOCK,79423,8067783460,3307 82ND ST STE 41,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38471,2027-09-11,IMMEDIATE SOLAR LLC,IMMEDIATE SOLAR LLC,RICHARDSON TX 75081-1865,DALLAS,75081,4693231902,"STE 111, 1771 INTERNATIONAL PKWY",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
32960,2026-09-14,INFINITY SOLAR,INFINITY SOLAR,,,0,,,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
31105,2027-07-29,INFINITY SOLAR SOLUTIONS LLC,INFINITY SOLAR SOLUTIONS LLC,SAN ANGELO TX 76903,TOM GREEN,76903,4323524647,3122 LAKE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36120,2027-06-10,INFINITY SOLAR USA,INFINITY SOLAR USA,FARMERS BRANCH TX 75234,DALLAS,75234,8008180598,1418 VENTURE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38126,2027-07-18,INTEGRITY ELECTRIC & SOLAR LLC,INTEGRITY ELECTRIC & SOLAR LLC,CHANDLER TX 75758,HENDERSON,75758,9038049168,871 PECAN TREE RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37666,2027-01-27,INTEGRITY SOLAR USA LLC,INTEGRITY SOLAR USA LLC,SUNSET TX 76270-2161,MONTAGUE,76270,9408414103,196 SILVER LAKES DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33693,2027-06-04,J & D ELECTRIC & SOLAR LLC,J & D ELECTRIC & SOLAR LLC,DALLAS TX 75227,DALLAS,75227,4698657439,7027 PARKDALE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38802,2027-01-22,JANI SOLAR LLC,JANI SOLAR LLC,RICHARDSON TX 75081,DALLAS,75081,2146805484,2177 BUCKINGHAM RD #268,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36453,2027-09-21,JEH SOLAR LLC,JEH SOLAR LLC,LAFAYETTE LA 70508,OUT OF STATE,70508,3272770037,105 HENDERSON RD,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36417,2027-09-10,JILES SOLAR POWER LLC,JILES SOLAR POWER LLC,NEW BRAUNFELS TX 78130,COMAL,78130,8304019972,1913 POST RD STE 210,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39880,2027-01-28,JOULE SOLAR OPERATIONS LLC,JOULE SOLAR OPERATIONS LLC,AUSTIN TX 78731-4298,TRAVIS,78731,9857689922,5900 BALCONES DR STE 100,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38990,2027-03-25,KINGS ELECTRIC & SOLAR LLC,KINGS ELECTRIC & SOLAR LLC,SAN ANTONIO TX 78254-5948,BEXAR,78254,2102969559,9746 MUSTANG FARM,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40712,2026-09-23,KSG ELECTRIC AND SOLAR SERVICES,KSG ELECTRIC AND SOLAR SERVICES,SACRAMENTO CA 95825-1474,OUT OF STATE,95825,9254210158,3400 COTTAGE WAY STE G2 # 1250,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40529,2027-07-28,KW SOLAR LLC,KW SOLAR LLC,KATY TX 77493-2411,HARRIS,77493,7132778085,5342 E 5TH ST #600,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41323,2027-04-07,LIFETIME SOLAR LLC,LIFETIME SOLAR LLC,KANSAS CITY MO 64105-2106,OUT OF STATE,64105,9135266141,1251 MAIN ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40997,2027-01-05,LOGIC SOLAR LLC,LOGIC SOLAR LLC,OVERLAND PARK KS 66210-2332,OUT OF STATE,66210,6602169664,7300 W 110TH ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35443,2026-09-15,LONE STAR SOLAR SERVICES LLC,LONE STAR SOLAR SERVICES LLC,HOUSTON TX 77086,HARRIS,77086,3468884458,3443 NORTH SAM HOUSTON PKWY W,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39177,2027-05-15,LPL SOLAR LLC,LPL SOLAR LLC,FORT LAUDERDALE FL 33316-4126,OUT OF STATE,33316,9548098863,"3116 S ANDREWS AVE, SUITE A",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37877,2027-03-27,LUXURY ENERGY SOLAR LLC,LUXURY ENERGY SOLAR LLC,HOUSTON TX 77039,HARRIS,77039,2814177593,3611 HOLLYBROOK LN,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38799,2027-01-18,MATHIS SOLAR LLC,MATHIS SOLAR LLC,ARLINGTON TX 76012-3201,TARRANT,76012,8172477346,1008 W CEDAR ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39603,2026-10-17,"MAXIMA SOLAR CONTRACTORS, LLC","MAXIMA SOLAR CONTRACTORS, LLC",SAN ANTONIO TX 78233-5416,BEXAR,78233,2106204267,5326 EL MEDANO ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38682,2026-11-10,MAYER SOLAR LLC,MAYER SOLAR LLC,PLANO TX 75074-3770,COLLIN,75074,4697395220,800 JUPITER RD STE 175,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37254,2027-07-02,MCF SOLAR LLC,MCF SOLAR LLC,LUFKIN TX 75901-5729,ANGELINA,75901,8772454447,1511 S CHESTNUT ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36514,2027-10-11,MEGA WATT SOLAR LLC,MEGA WATT SOLAR LLC,FRISCO TX 75035,COLLIN,75035,8327232423,12530 GLADEMEADOW DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34081,2027-01-08,MODERN ERA SOLAR LLC,MODERN ERA SOLAR LLC,EL PASO TX 79936,EL PASO,79936,9152278640,"1370 PULLMAN, BLDG A SUITE E",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39701,2026-12-29,MOJO ELECTRIC & SOLAR LLC,MOJO ELECTRIC & SOLAR LLC,TRENTON TX 75490,FANNIN,75490,9037189162,"STE 2A, 17660 S STATE HIGHWAY 121",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
38847,2027-02-08,"MOMENTUM SOLAR, LLC","MOMENTUM SOLAR, LLC",SOUTH PLAINFIELD NJ 7080 -1201,OUT OF STATE,7080,7329026224,"3096B HAMILTON BLVD, BUILDING B",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
