licenseNumber,businessName,cityStateZip,candidateDomain,sources,status
38038,EAGLE SOLAR POWER LLC,MANSFIELD TX 76063,eaglesolarpower.com,clearout,candidate_found
40318,"EARTH SMART SOLAR, LLC",SAN ANTONIO TX 78258,earthsmartsolar.com,clearout,candidate_found
33539,EASTEX SOLAR,PALESTINE TX 75803-0625,eastexsolar.com,dataforseo,candidate_found
37330,ECLIPSE SOLAR & HOME SOLUTIONS INC.,AUSTIN TX 78731-4298,eclipsesolar.net,dataforseo,candidate_found
36539,"ELIAS SOLAR, INC.",HOUSTON TX 77018-5044,elias.solar,clearout|dataforseo,candidate_found
38765,EMPOWER SOLAR INC,HOUSTON TX 77066-1216,empoweryourhome.com,clearout,candidate_found
39263,EMPWR SOLAR LLC,MOUNT PLEASANT SC 29464,empwrsolar.com,clearout,candidate_found
29616,"ENPHASE ENERGY, INC.",FREMONT CA 94538-6517,enphase.com,clearout,candidate_found
40035,EPC SOLAR LLC,ALEDO TX 76008-1844,epcsolarnj.com,dataforseo,candidate_found
35996,FAMILY SOLAR COMPANY,FRISCO TX 75034,familysolarcompany.com,clearout|dataforseo,candidate_found
37970,GLOBAL SOLAR GROUP,EL PASO TX 79936,globalsolargrp.com,clearout,candidate_found
36814,GLYDE SOLAR LLC,PLEASANT GROVE UT 84062,glydesolar.com,clearout,candidate_found
35375,GO SOLAR POWER LLC,ADDISON TX 75001,gosolarpower.com,clearout,candidate_found
32051,GREEN LIGHT SOLAR LLC,HOUSTON TX 77032-4087,https://n/a,clearout,candidate_found
28367,GREENBELT SOLAR LLC,AUSTIN TX 78745,greenbeltsolar.com,clearout,candidate_found
38037,HARVEST SOLAR INC.,GARLAND TX 75040,harvestsolarinc.com,dataforseo,candidate_found
36117,"HARVEST SOLAR OF TEXAS, LLC",HOUSTON TX 77035,harvestsolaroftexas.com,clearout,candidate_found
38471,IMMEDIATE SOLAR LLC,RICHARDSON TX 75081-1865,immediatesolar.org,clearout,candidate_found
31105,INFINITY SOLAR SOLUTIONS LLC,SAN ANGELO TX 76903,infinitysolarsolutions.net,clearout,candidate_found
36120,INFINITY SOLAR USA,FARMERS BRANCH TX 75234,infinitysolarusa.com,clearout,candidate_found
36453,JEH SOLAR LLC,LAFAYETTE LA 70508,jehsolar.com,clearout,candidate_found
40529,KW SOLAR LLC,KATY TX 77493-2411,kw.solar,clearout,candidate_found
41323,LIFETIME SOLAR LLC,KANSAS CITY MO 64105-2106,lifetimesolarenergy.com,clearout,candidate_found
39177,LPL SOLAR LLC,FORT LAUDERDALE FL 33316-4126,lplsolar.com,clearout,candidate_found
38682,MAYER SOLAR LLC,PLANO TX 75074-3770,mayersolar.com,clearout,candidate_found
37254,MCF SOLAR LLC,LUFKIN TX 75901-5729,mcfsolar.com,clearout,candidate_found
38847,"MOMENTUM SOLAR, LLC",SOUTH PLAINFIELD NJ 7080 -1201,momentumsolarinc.com,clearout,candidate_found
35568,"MONUMENT SOLAR, LLC",SAGINAW TX 76131-1033,monument-solar.com,clearout,candidate_found
37474,MOUNTAINSTAR SOLAR LLC,EL PASO TX 79835,mountainstarsolar.com,clearout,candidate_found
26718,NATIVE SOLAR LLC,DRIPPING SPRINGS TX 78620,nativesolar.com,clearout,candidate_found
36893,NEXT GENERATION SOLAR,FORT WORTH TX 76179,nextgenerationsolar.org,clearout,candidate_found
31140,NORTH TEXAS SOLAR LLC,FORT WORTH TX 76137,daybreaksolarpower.com,clearout,candidate_found
31318,ONE80 SOLAR,SAN ANTONIO TX 78204-1638,one80solar.com,clearout,candidate_found
38246,"PEOPLE'S CHOICE SOLAR, LLC",MCALLEN TX 78501-4902,peopleschoicesolar.com,clearout,candidate_found
41752,POSITIVE ENERGY SOLAR INC,SANTA FE NM 87507-4101,positiveenergysolar.com,clearout,candidate_found
35719,PROCLAIM SOLAR LLC,PLANO TX 75074,proclaimsolar.com,clearout,candidate_found
36125,"QUANTUM SOLAR POWER, LLC",EL PASO TX 79905,qtmsolar.com,clearout,candidate_found
36729,QUICKEN SOLAR LLC,FRISCO TX 75035,quickensolar.com,clearout,candidate_found
38800,RADIANCE SOLAR LLC,MARIETTA GA 30068,radiancesolar.com,clearout,candidate_found
36276,RENEWABLE POWER SOLUTIONS,GRANBURY TX 76048-5894,rps-solar.com,clearout,candidate_found
36806,RURAL SOLAR RESTORATION LLC,DENVER CO 80211,ruralsolarrestoration.com,clearout,candidate_found
33112,S & H SOLAR & ELECTRIC LLC,IOWA PARK TX 76367-1612,shsolarelectric.com,clearout,candidate_found
29755,SOLAR CENTEX LLC,HARKER HEIGHTS TX 76548-8680,solarcentex.com,clearout,candidate_found
33215,SOLAR EDGE PROS LLC,SAN ANTONIO TX 78216-2621,solaredgepros.com,clearout,candidate_found
18011,SOLAR ELECTRIC TEXAS LLC,SAN ANTONIO TX 78229,solarelectrictexas.com,clearout,candidate_found
38546,SOLAR PLUS LLC,MIDLOTHIAN TX 76065-4588,solarplusllc.com,clearout,candidate_found
34411,SOLAR POWER INTEGRATOR LLC,CORPUS CHRISTI TX 78418-5312,solarpowerintegrator.com,clearout,candidate_found
27852,"SOLAR SMART LIVING, LLC",SANTA TERESA NM 88008,solarsmartliving.com,clearout,candidate_found
33434,"SOLAR SME, INC.",DALLAS TX 75212-7612,solarsme.com,clearout,candidate_found
35546,SOLSTICE SOLAR LLC,HOUSTON TX 77040,solstice-solar.com,clearout,candidate_found
29074,SOUTH COAST SOLAR LLC,METAIRIE LA 70002-6036,southcoastsolar.com,clearout,candidate_found
30019,SOUTH TEXAS SOLAR SYSTEMS,SAN ANTONIO TX 78217-4449,txsolarsystems.com,clearout,candidate_found
41062,SPECTRUM SOLAR POWER LLC,WINTER PARK FL 32792-2541,spectrumsolarpower.com,clearout,candidate_found
36510,STARALT SOLAR,MCALLEN TX 78501,staraltsolar.com,clearout,candidate_found
35852,STG SOLAR,PISGAH FOREST NC 28768,stgsolarco.com,clearout,candidate_found
39213,SUNAURA SOLAR LLC,ADDISON TX 75001,gosunaura.com,clearout,candidate_found
39834,SUNFORCE SOLAR LLC,LAS CRUCES NM 88007,sunforce.solar,clearout,candidate_found
33531,SUNSHINE RENEWABLE SOLUTIONS LLC,HOUSTON TX 77033,sunshinerenewable.com,clearout,candidate_found
32406,SYNAPTIC SOLAR LLC,RICHARDSON TX 75081-2334,synapticsolar.com,clearout,candidate_found
35309,TEXAS BEST SOLAR,LEWISVILLE TX 75057,texasbestsolar.com,clearout,candidate_found
34757,TEXAS DIRECT SOLAR LLC,HOUSTON TX 77023,texasdirectsolar.com,clearout,candidate_found
34731,TEXAS ENGINEERED SOLAR LLC,SAN ANTONIO TX 78219,txensolar.com,clearout,candidate_found
30629,TEXAS SOLAR ENERGY,HUMBLE TX 77396-6046,texsolarenergy.com,clearout,candidate_found
33580,TEXAS SOLAR GUYS LLC,BUDA TX 78610,texassolarguys.com,clearout,candidate_found
26492,TEXAS SOLAR POWER COMPANY,AUSTIN TX 78723-1074,txspc.com,clearout,candidate_found
35727,TEXAS SOLAR PROFESSIONAL LLC,CEDAR HILL TX 75104-2656,texassolar.pro,clearout,candidate_found
38354,TEXON SOLAR ENERGY LLC,ALVIN TX 77511-7807,texonsolar.com,clearout,candidate_found
40091,TIER 1 SOLAR LLC,CORPUS CHRISTI TX 78401-1934,tier1.solar,clearout,candidate_found
38437,"TOP TIER SOLAR SOLUTIONS, LLC",CHARLOTTE NC 28217-2911,toptiersolarsolutions.com,clearout,candidate_found
32259,TRISMART SOLAR LLC,HOUSTON TX 77073-6445,trismartsolar.com,clearout,candidate_found
37089,TRUE TEXAS SOLAR LLC,WILLIS TX 77318,truetexassolar.com,clearout,candidate_found
38340,VANTAGE POINT SOLAR LLC,IRVING TX 75039,vantagepointsolar.com,clearout,candidate_found
35152,"WEST TEXAS SOLAR, LLC",ABILENE TX 79601-6400,west-texas-solar.com,clearout,candidate_found
31269,WRIGHT SOLAR ENERGY L.L.C.,SAN ANTONIO TX 78257,wrightsolarenergy.com,clearout,candidate_found
26497,"WRIGHT WAY SOLAR TECHNOLOGIES, LLC",TYLER TX 75703,wright-way.com,clearout,candidate_found
