licenseNumber,businessName,cityStateZip,candidateDomain,candidateUrl,matchedListingTitle,matchScore,status,error
25739,AXIUM SOLAR INC,MCKINNEY TX 75071,,,,0,no_trusted_official_domain,
41667,BLACK WOLF SOLAR LLC,DALLAS TX 75254,,,,0,no_trusted_official_domain,
41450,BRAVO ZULU SOLAR LLC,SPRINGTOWN TX 76082-5478,,,,0,no_trusted_official_domain,
35724,BUMBLEBEE SOLAR LLC,HUMBLE TX 77396-2712,,,,0,no_trusted_official_domain,
38748,CC SOLAR,CORPUS CHRISTI TX 78401-3255,ccsolarenergy.com,https://www.ccsolarenergy.com/,CC SOLAR,160,candidate_found,
34933,CENTRAL TEXAS SOLAR LLC,SAN ANTONIO TX 78213,,,,0,no_trusted_official_domain,
33086,CEP ELECTRIC & SOLAR LLC,MCALLEN TX 78501-5977,,,,0,no_trusted_official_domain,
38249,"CILCIA, LLC VALOR SOLAR",DAMON TX 77430-8673,,,,0,no_trusted_official_domain,
32697,CIRCLE L SOLAR INC,FORT WORTH TX 76117,,,,0,no_trusted_official_domain,
38106,CMB SOLAR SOLUTIONS LLC,EL PASO TX 79912-4655,,,,0,no_trusted_official_domain,
35647,COMPLETE SOLAR INC,OREM UT 84097,,,,0,no_trusted_official_domain,
36372,CORENERG LLC DBA CORE SOLAR,DALLAS TX 75238,,,,0,no_trusted_official_domain,
41598,CR SOLAR LLC,CHICAGO IL 60612-1577,,,,0,no_trusted_official_domain,
39972,CREATUM SOLAR LLC,HOUSTON TX 77066-1003,,,,0,no_trusted_official_domain,
41428,CREDIBLE SOLAR AND ROOFING LLC,LITTLE ELM TX 75068-7828,,,,0,no_trusted_official_domain,
37519,CUSTOM PRO ROOFING & SOLAR,DALLAS TX 75229,,,Custom Pro Roofing and solar,58,ambiguous_match,
22994,CUSTOM SOLAR ELECTRIC,AUSTIN TX 78748,,,"Custom Solar and Electric, LLC",36,ambiguous_match,
41187,DANTE SOLAR REPAIR LLC,AUSTIN TX 78731,,,,0,no_trusted_official_domain,
37071,"DAWN TO DUSK SOLAR TEXAS, LLC",FARMERS BRANCH TX 75234,,,,0,no_trusted_official_domain,
40536,DETACH RESET SOLAR LLC,AUSTIN TX 78731-4298,,,,0,no_trusted_official_domain,
29469,DFW SOLAR ELECTRIC LLC,FLOWER MOUND TX 75022,,,,0,no_trusted_official_domain,
41673,DIECO ENERGY SOLAR AND ELECTRICAL,SAN ANTONIO TX 78209-3232,,,,0,no_trusted_official_domain,
37397,"DIVIDED SKY ROOFING & SOLAR, LLC",SAN MARCOS TX 78666-5549,,,,0,no_trusted_official_domain,
40173,DT SOLAR LLC,BROWNSVILLE TX 78520-9647,,,DT Solar LLC,60,no_trusted_official_domain,
38061,E.A. SOLAR & HOME SERVICES LLC,CONROE TX 77303-3250,,,,0,no_trusted_official_domain,
38038,EAGLE SOLAR POWER LLC,MANSFIELD TX 76063,,,,0,no_trusted_official_domain,
40318,"EARTH SMART SOLAR, LLC",SAN ANTONIO TX 78258,,,,0,no_trusted_official_domain,
33539,EASTEX SOLAR,PALESTINE TX 75803-0625,eastexsolar.com,http://www.eastexsolar.com/,EasTex Solar,160,candidate_found,
37330,ECLIPSE SOLAR & HOME SOLUTIONS INC.,AUSTIN TX 78731-4298,eclipsesolar.net,http://eclipsesolar.net/,Eclipse Solar & Home Solutions Inc.,60,candidate_found,
37060,EDISON SOLAR LLC,PLANO TX 75075-4200,,,,0,no_trusted_official_domain,
38497,ELDRIGE ROOFING & SOLAR,SPRING TX 77379-3424,,,,0,no_trusted_official_domain,
31577,ELEVATION SOLAR LLC,CHANDLER AZ 85286,,,,0,no_trusted_official_domain,
36539,"ELIAS SOLAR, INC.",HOUSTON TX 77018-5044,elias.solar,https://www.elias.solar/,"Elias Solar, Inc.",160,candidate_found,
35557,"ELITE SOLAR ARP SOLUTIONS, LLC",EL PASO TX 79935-5304,,,,0,no_trusted_official_domain,
38765,EMPOWER SOLAR INC,HOUSTON TX 77066-1216,,,,0,no_trusted_official_domain,
39263,EMPWR SOLAR LLC,MOUNT PLEASANT SC 29464,,,,0,no_trusted_official_domain,
25720,ENGEL SOLAR-ELECTRIC,CONVERSE TX 78109,,,,,api_error,Please verify your account before using the API. You can complete verification in the user panel: https://app.dataforseo.com/ .
39448,ENLIGHT SOLAR SOLUTIONS LLC,SULPHUR SPRINGS TX 75482-3529,,,,0,no_trusted_official_domain,
37441,ENTO PRODUCTIONS INC DBA BRIGHT SOLAR,HOUSTON TX 77066-1024,,,,0,no_trusted_official_domain,
40035,EPC SOLAR LLC,ALEDO TX 76008-1844,epcsolarnj.com,https://epcsolarnj.com/,EPC Solar LLC,60,candidate_found,
38512,EVOLUTION SOLAR SOLUTIONS LLC,MURPHY TX 75094-3728,,,,0,no_trusted_official_domain,
35996,FAMILY SOLAR COMPANY,FRISCO TX 75034,familysolarcompany.com,https://www.familysolarcompany.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14854526720995065285,Family Solar Company,60,candidate_found,
38998,FRANS SOLAR ELECTRIC,UNIVERSAL CITY TX 78148-8154,,,,0,no_trusted_official_domain,
37970,GLOBAL SOLAR GROUP,EL PASO TX 79936,,,Global Solar Group & Home Improvement,66,ambiguous_match,
36814,GLYDE SOLAR LLC,PLEASANT GROVE UT 84062,,,,0,no_trusted_official_domain,
41633,GO SOLAR AND ROOFING LLC,LUBBOCK TX 79404-6174,,,,0,no_trusted_official_domain,
35375,GO SOLAR POWER LLC,ADDISON TX 75001,,,,0,no_trusted_official_domain,
38601,GOODPWR SOLAR LLC,ARVADA CO 80007,,,,0,no_trusted_official_domain,
33940,GREATER TEXAS SOLAR LLC,MASON TX 76856,,,,0,no_trusted_official_domain,
32051,GREEN LIGHT SOLAR LLC,HOUSTON TX 77032-4087,,,,0,no_trusted_official_domain,
28367,GREENBELT SOLAR LLC,AUSTIN TX 78745,,,,0,no_trusted_official_domain,
41448,GRIDCRAFT SOLAR,ROUND ROCK TX 78664-8559,,,,0,no_trusted_official_domain,
32590,GS SOLAR LLC DBA BIG SUN SOLAR,SAN ANTONIO TX 78215-1269,,,,0,no_trusted_official_domain,
38037,HARVEST SOLAR INC.,GARLAND TX 75040,harvestsolarinc.com,https://www.harvestsolarinc.com/,Harvest Solar Inc.,140,candidate_found,
36117,"HARVEST SOLAR OF TEXAS, LLC",HOUSTON TX 77035,,,,0,no_trusted_official_domain,
39995,HDEZ ELECTRIC/SOLAR LLC,ARLINGTON TX 76015-4326,,,,0,no_trusted_official_domain,
39298,HILL COUNTRY SOLAR LLC,FREDERICKSBURG TX 78624-4227,,,,0,no_trusted_official_domain,
40995,HONEST SOLAR LLC,AUSTIN TX 78744-3009,,,,0,no_trusted_official_domain,
38653,HUB CITY SOLAR LLC,LUBBOCK TX 79423-2046,,,,0,no_trusted_official_domain,
38471,IMMEDIATE SOLAR LLC,RICHARDSON TX 75081-1865,,,,0,no_trusted_official_domain,
32960,INFINITY SOLAR,,,,Infinity Solar,80,no_trusted_official_domain,
31105,INFINITY SOLAR SOLUTIONS LLC,SAN ANGELO TX 76903,,,,,api_error,Ok.
36120,INFINITY SOLAR USA,FARMERS BRANCH TX 75234,,,,,api_error,Ok.
38126,INTEGRITY ELECTRIC & SOLAR LLC,CHANDLER TX 75758,,,,,api_error,Ok.
37666,INTEGRITY SOLAR USA LLC,SUNSET TX 76270-2161,,,,,api_error,Ok.
33693,J & D ELECTRIC & SOLAR LLC,DALLAS TX 75227,,,,,api_error,Ok.
38802,JANI SOLAR LLC,RICHARDSON TX 75081,,,,,api_error,Ok.
36453,JEH SOLAR LLC,LAFAYETTE LA 70508,,,,,api_error,Ok.
36417,JILES SOLAR POWER LLC,NEW BRAUNFELS TX 78130,,,,,api_error,Payment Required.
39880,JOULE SOLAR OPERATIONS LLC,AUSTIN TX 78731-4298,,,,,api_error,Payment Required.
38990,KINGS ELECTRIC & SOLAR LLC,SAN ANTONIO TX 78254-5948,,,,,api_error,Ok.
40712,KSG ELECTRIC AND SOLAR SERVICES,SACRAMENTO CA 95825-1474,,,,,api_error,Payment Required.
40529,KW SOLAR LLC,KATY TX 77493-2411,,,,,api_error,Payment Required.
41323,LIFETIME SOLAR LLC,KANSAS CITY MO 64105-2106,,,,,api_error,Ok.
40997,LOGIC SOLAR LLC,OVERLAND PARK KS 66210-2332,,,,,api_error,Payment Required.
35443,LONE STAR SOLAR SERVICES LLC,HOUSTON TX 77086,,,,,api_error,Payment Required.
39177,LPL SOLAR LLC,FORT LAUDERDALE FL 33316-4126,,,,,api_error,Payment Required.
37877,LUXURY ENERGY SOLAR LLC,HOUSTON TX 77039,,,,,api_error,Ok.
38799,MATHIS SOLAR LLC,ARLINGTON TX 76012-3201,,,,,api_error,Payment Required.
39603,"MAXIMA SOLAR CONTRACTORS, LLC",SAN ANTONIO TX 78233-5416,,,,,api_error,Payment Required.
38682,MAYER SOLAR LLC,PLANO TX 75074-3770,,,,,api_error,Ok.
37254,MCF SOLAR LLC,LUFKIN TX 75901-5729,,,,,api_error,Payment Required.
36514,MEGA WATT SOLAR LLC,FRISCO TX 75035,,,,,api_error,Ok.
34081,MODERN ERA SOLAR LLC,EL PASO TX 79936,,,,,api_error,Payment Required.
39701,MOJO ELECTRIC & SOLAR LLC,TRENTON TX 75490,,,,,api_error,Payment Required.
38847,"MOMENTUM SOLAR, LLC",SOUTH PLAINFIELD NJ 7080 -1201,,,,,api_error,Payment Required.
35568,"MONUMENT SOLAR, LLC",SAGINAW TX 76131-1033,,,,,api_error,Payment Required.
37474,MOUNTAINSTAR SOLAR LLC,EL PASO TX 79835,,,,,api_error,Payment Required.
40688,NATIONAL SOLAR INSTALLATIONS OF TX LLC,ROCKLEDGE FL 32955-5802,,,,,api_error,Payment Required.
26718,NATIVE SOLAR LLC,DRIPPING SPRINGS TX 78620,,,,,api_error,Payment Required.
36893,NEXT GENERATION SOLAR,FORT WORTH TX 76179,,,,,api_error,Payment Required.
31140,NORTH TEXAS SOLAR LLC,FORT WORTH TX 76137,,,,,api_error,Payment Required.
30002,OLYMPUS ELECTRIC & SOLAR LLC,SAN ANTONIO TX 78235-2628,,,,,api_error,Payment Required.
40061,"ON Q SOLAR SERVICES, LLC",SANTA CLARITA CA 91350-8562,,,,,api_error,Payment Required.
31318,ONE80 SOLAR,SAN ANTONIO TX 78204-1638,,,,,api_error,Payment Required.
41422,ORO ENERGY & SOLAR LLC,SAN ANTONIO TX 78253-7427,,,,,api_error,Payment Required.
34752,"PALMETTO SOLAR, LLC",CHARLOTTE NC 28203-4378,,,,,api_error,Payment Required.
38936,PATRIOT POWER SOLAR AND ELECTRICAL,BUDA TX 78610-3212,,,,,api_error,Payment Required.
39709,PATS ELECTRIC AND SOLAR LLC,QUINLAN TX 75474-4229,,,,,api_error,Payment Required.
41489,PCL SOLAR CONSTRUCTORS USA INC,KATY TX 77449-2175,,,,,api_error,Payment Required.
38246,"PEOPLE'S CHOICE SOLAR, LLC",MCALLEN TX 78501-4902,,,,,api_error,Payment Required.
33440,PLUG ELECTRIC & SOLAR LLC,ODESSA TX 79763-2804,,,,,api_error,Payment Required.
41752,POSITIVE ENERGY SOLAR INC,SANTA FE NM 87507-4101,,,,,api_error,Payment Required.
32680,"POWERFIN TEXAS SOLAR PROJECTS, LLC",AUSTIN TX 78731,,,,,api_error,Payment Required.
35440,PRIME SOLAR INC,RICHARDSON TX 75080-1946,,,,,api_error,Payment Required.
35719,PROCLAIM SOLAR LLC,PLANO TX 75074,,,,,api_error,Payment Required.
33458,PUNCH SOLAR & ELECTRICAL SERVICES LLC,AUSTIN TX 78753-2734,,,,,api_error,Payment Required.
39006,"PV NATIONAL, LLC",RICHARDSON TX 75081,,,,,api_error,Payment Required.
36125,"QUANTUM SOLAR POWER, LLC",EL PASO TX 79905,,,,,api_error,Payment Required.
36729,QUICKEN SOLAR LLC,FRISCO TX 75035,,,,,api_error,Payment Required.
38800,RADIANCE SOLAR LLC,MARIETTA GA 30068,,,,,api_error,Payment Required.
39967,RAYMUNDOS ELECTRICAL N SOLAR LLC,KATY TX 77449-1787,,,,,api_error,Payment Required.
38109,"READY EVERY SECOND SOLAR, INC.",HOUSTON TX 77092-7218,,,,,api_error,Payment Required.
40730,REMOVE SOLAR RESET LLC,PLANO TX 75075,,,,,api_error,Payment Required.
32996,RENERGY SOLAR LLC,BOERNE TX 78006,,,,,api_error,Payment Required.
37418,RGV SOLAR ELECTRIC LLC,MISSION TX 78572-3576,,,,,api_error,Payment Required.
38167,RKS ELECTRIC AND SOLAR L.L.C.,HUTTO TX 78634-5243,,,,,api_error,Payment Required.
36806,RURAL SOLAR RESTORATION LLC,DENVER CO 80211,,,,,api_error,Payment Required.
33112,S & H SOLAR & ELECTRIC LLC,IOWA PARK TX 76367-1612,,,,,api_error,Payment Required.
39625,S&R SOLAR SOLUTIONS LLC,LAREDO TX 78041-6211,,,,,api_error,Payment Required.
35709,"SECURITY SOLAR, LLC",ROUND ROCK TX 78665,,,,,api_error,Payment Required.
38829,SHNEYDER SOLAR INC,FORNEY TX 75126,,,,,api_error,Payment Required.
36340,SIGNA TECH SOLAR DBA,SULPHUR SPRINGS TX 75482-6601,,,,,api_error,Payment Required.
33035,"SILVER ELECTRIC AND SOLAR, LLC",LEANDER TX 78641-6226,,,,,api_error,Payment Required.
37273,SIRIO SOLAR ENERGY SOLUTIONS LLC,PANTEGO TX 76013,,,,,api_error,Payment Required.
40845,SKYGRID SOLAR SOLUTIONS LLC,MINEOLA TX 75773,,,,,api_error,Payment Required.
35746,SMA SOLAR TECHNOLOGY AMERICA LLC,ROCKLIN CA 95765-3720,,,,,api_error,Payment Required.
35047,SMART ENERGY SOLAR LLC,EL PASO TX 79907-3208,,,,,api_error,Payment Required.
37419,SOLAR 365 LLC DBA GOOD NEIGHBOR ENERGY,SAN ANTONIO TX 78229,,,,,api_error,Payment Required.
35483,SOLAR 820 LLC,HOUSTON TX 77469,,,,,api_error,Payment Required.
35385,SOLAR ALTERNATIVES INC,HARAHAN LA 70123-2155,,,,,api_error,Payment Required.
37677,"SOLAR BROS ELECTRIC, LLC",FORT WORTH TX 76112,,,,,api_error,Payment Required.
29755,SOLAR CENTEX LLC,HARKER HEIGHTS TX 76548-8680,,,,,api_error,Payment Required.
33215,SOLAR EDGE PROS LLC,SAN ANTONIO TX 78216-2621,,,,,api_error,Payment Required.
18011,SOLAR ELECTRIC TEXAS LLC,SAN ANTONIO TX 78229,,,,,api_error,Payment Required.
30862,SOLAR ELECTRICAL/RETROFIT SOLUTIONS INC,ALVARADO TX 76009-5202,,,,,api_error,Payment Required.
41158,SOLAR EXPERT AND ROOFS,EDINBURG TX 78542-0463,,,,,api_error,Payment Required.
41297,SOLAR INNOVATIVE SOLUTIONS CORP,LEHIGH ACRES FL 33976-4528,,,,,api_error,Payment Required.
40126,SOLAR ONE CONSTRUCTION,SHERMAN TX 75090,,,,,api_error,Payment Required.
39062,SOLAR OPTIMAL SERVICES LLC,DALLAS TX 75253-3720,,,,,api_error,Payment Required.
38546,SOLAR PLUS LLC,MIDLOTHIAN TX 76065-4588,,,,,api_error,Payment Required.
34411,SOLAR POWER INTEGRATOR LLC,CORPUS CHRISTI TX 78418-5312,,,,,api_error,Payment Required.
34727,SOLAR PVS LLC,HOUSTON TX 77044-4991,,,,,api_error,Payment Required.
37604,SOLAR SALES OF NORTH AMERICA INC,FRISCO TX 75035-6762,,,,,api_error,Payment Required.
41216,SOLAR SANDHU INC,HOUSTON TX 77002-8256,,,,,api_error,Payment Required.
38399,SOLAR SCOUTS OPERATIONS LLC,FREDERICKSBURG TX 78624,,,,,api_error,Payment Required.
33444,SOLAR SERVICE AMERICA LLC,AUSTIN TX 78723,,,,,api_error,Payment Required.
27852,"SOLAR SMART LIVING, LLC",SANTA TERESA NM 88008,,,,,api_error,Payment Required.
33434,"SOLAR SME, INC.",DALLAS TX 75212-7612,,,,,api_error,Payment Required.
39183,SOLAR TECH INNOVATIONS LLC,BENBROOK TX 76126-3724,,,,,api_error,Payment Required.
28922,SOLAR TEK ENERGY,KYLE TX 78640-5333,,,,,api_error,Payment Required.
35546,SOLSTICE SOLAR LLC,HOUSTON TX 77040,,,,,api_error,Payment Required.
29074,SOUTH COAST SOLAR LLC,METAIRIE LA 70002-6036,,,,,api_error,Payment Required.
30019,SOUTH TEXAS SOLAR SYSTEMS,SAN ANTONIO TX 78217-4449,,,,,api_error,Payment Required.
34875,"SPACE CITY SOLAR, LLC.",HOUSTON TX 77066-1007,,,,,api_error,Payment Required.
39434,SPARTAN SOLAR & ELECTRIC LLC,WEATHERFORD TX 76087-7308,,,,,api_error,Payment Required.
41062,SPECTRUM SOLAR POWER LLC,WINTER PARK FL 32792-2541,,,,,api_error,Payment Required.
38123,SPEKTRA LLC DBA SOLAR E TRIBE,PLANO TX 75024-3479,,,,,api_error,Payment Required.
36510,STARALT SOLAR,MCALLEN TX 78501,,,,,api_error,Payment Required.
37176,STATIC SOLAR LLC,RICHARDSON TX 75081,,,,,api_error,Payment Required.
38058,STEPHENS SOLAR SOLUTIONS,SAN ANTONIO TX 78216-3214,,,,,api_error,Payment Required.
35852,STG SOLAR,PISGAH FOREST NC 28768,,,,,api_error,Payment Required.
39529,STRONG TOWER SOLAR ELC SRVS & GENERATORS,HUTTO TX 78634-5356,,,,,api_error,Payment Required.
40848,SUN CITY SOLAR SOLUTIONS,EL PASO TX 79938,,,,,api_error,Payment Required.
39213,SUNAURA SOLAR LLC,ADDISON TX 75001,,,,,api_error,Payment Required.
34916,SUNCHARGE SOLAR LLC,AUSTIN TX 78747-3928,,,,,api_error,Payment Required.
38691,SUNCOR SOLAR & HOME IMPROVEMENT LLC,PENSACOLA FL 32534-1297,,,,,api_error,Payment Required.
39841,SUNCORE SOLAR L.L.C.,FOUNTAIN VALLEY CA 92708-5510,,,,,api_error,Payment Required.
38605,SUNDOWN SOLAR LLC,SAN ANTONIO TX 78250-2814,,,,,api_error,Payment Required.
34867,SUNERGY SOLAR LLC,NEW PORT RICHEY FL 34654,,,,,api_error,Payment Required.
37131,SUNFIRE SOLAR SYSTEMS LLC,EL PASO TX 79912-4516,,,,,api_error,Payment Required.
39834,SUNFORCE SOLAR LLC,LAS CRUCES NM 88007,,,,,api_error,Payment Required.
39627,SUNHUT SOLAR LLC,EL PASO TX 79912-4357,,,,,api_error,Payment Required.
35754,SUNUP SOLAR II LLC,SAN ANTONIO TX 78205,,,,,api_error,Payment Required.
32406,SYNAPTIC SOLAR LLC,RICHARDSON TX 75081-2334,,,,,api_error,Payment Required.
37118,TEX-SUN SOLAR SOLUTIONS LLC,JUSTIN TX 76247,,,,,api_error,Payment Required.
38897,TEXAN ELECTRIC & SOLAR SERVICES LLC,MANSFIELD TX 76063-3075,,,,,api_error,Payment Required.
35309,TEXAS BEST SOLAR,LEWISVILLE TX 75057,,,,,api_error,Payment Required.
34757,TEXAS DIRECT SOLAR LLC,HOUSTON TX 77023,,,,,api_error,Payment Required.
34731,TEXAS ENGINEERED SOLAR LLC,SAN ANTONIO TX 78219,,,,,api_error,Payment Required.
39837,TEXAS SOLAR CONSULTANTS,PRINCETON TX 75407,,,,,api_error,Payment Required.
30629,TEXAS SOLAR ENERGY,HUMBLE TX 77396-6046,,,,,api_error,Payment Required.
33580,TEXAS SOLAR GUYS LLC,BUDA TX 78610,,,,,api_error,Payment Required.
37537,"TEXAS SOLAR PANIMALS, LLC.",FORNEY TX 75126-5124,,,,,api_error,Payment Required.
26492,TEXAS SOLAR POWER COMPANY,AUSTIN TX 78723-1074,,,,,api_error,Payment Required.
35727,TEXAS SOLAR PROFESSIONAL LLC,CEDAR HILL TX 75104-2656,,,,,api_error,Payment Required.
38164,TEXAS SOLAR SOLUTIONS LLC,FORT WORTH TX 76102-3524,,,,,api_error,Payment Required.
38354,TEXON SOLAR ENERGY LLC,ALVIN TX 77511-7807,,,,,api_error,Payment Required.
40042,"THE SOLAR MAINTENANCE GUYS, LLC",BEDFORD TX 76022,,,,,api_error,Payment Required.
38160,THS HOME SOLAR LLC,LEWISVILLE TX 75067-4183,,,,,api_error,Payment Required.
40091,TIER 1 SOLAR LLC,CORPUS CHRISTI TX 78401-1934,,,,,api_error,Payment Required.
38437,"TOP TIER SOLAR SOLUTIONS, LLC",CHARLOTTE NC 28217-2911,,,,,api_error,Payment Required.
32259,TRISMART SOLAR LLC,HOUSTON TX 77073-6445,,,,,api_error,Payment Required.
37089,TRUE TEXAS SOLAR LLC,WILLIS TX 77318,,,,,api_error,Payment Required.
39808,TRUHORIZON SOLAR INC.,WEATHERFORD TX 76085-3975,,,,,api_error,Payment Required.
39282,UNITED SOLAR & ROOFING,ROUND ROCK TX 78665-1591,,,,,api_error,Payment Required.
40788,USA SOLAR AND BATTERY,NORTH RICHLAND HILLS TX 76180,,,,,api_error,Payment Required.
38340,VANTAGE POINT SOLAR LLC,IRVING TX 75039,,,,,api_error,Payment Required.
35152,"WEST TEXAS SOLAR, LLC",ABILENE TX 79601-6400,,,,,api_error,Payment Required.
36395,WHITE LABEL SOLAR SOLUTIONS,NEW BRAUNFELS TX 78130,,,,,api_error,Payment Required.
32917,WILL POWER SOLAR LLC,SAN ANTONIO TX 78251,,,,,api_error,Payment Required.
31269,WRIGHT SOLAR ENERGY L.L.C.,SAN ANTONIO TX 78257,,,,,api_error,Payment Required.
26497,"WRIGHT WAY SOLAR TECHNOLOGIES, LLC",TYLER TX 75703,,,,,api_error,Payment Required.
35983,WVW INVESTMENTS LLC DBA STARLIGHT SOLAR,HOUSTON TX 77045,,,,,api_error,Payment Required.
38384,YOGI SOLAR LLC,KATY TX 77494-5486,,,,,api_error,Payment Required.
38305,YOUR SOLAR LIAISON LLC,EDINBURG TX 78539-8018,,,,,api_error,Payment Required.
39689,ZEUS ELECTRIC AND SOLAR,SAN ANTONIO TX 78218-2504,,,,,api_error,Payment Required.
30564,A RENEWABLE ELECTRIC LLC,HOUSTON TX 77072-4203,,,,,api_error,Payment Required.
30973,"BIG DOG RENEWABLE ENERGY, LLC",CHUBBUCK ID 83202-4908,,,,,api_error,Payment Required.
35493,CMS RENEWABLE LLC,GRAND PRAIRIE TX 75050,,,,,api_error,Payment Required.
29616,"ENPHASE ENERGY, INC.",FREMONT CA 94538-6517,,,,,api_error,Payment Required.
39097,HQCA CLEAN ENERGY SERVICES LLC,IRVINE CA 92618-5021,,,,,api_error,Payment Required.
32980,PRIMORIS RENEWABLE ENERGY INC,AURORA CO 80011-1551,,,,,api_error,Payment Required.
41097,RENEWABLE ENERGY BROKERS,BOWIE TX 76230,,,,,api_error,Payment Required.
35494,RENEWABLE ENERGY OF TEXAS LLC,SAN ANTONIO TX 78251,,,,,api_error,Payment Required.
36276,RENEWABLE POWER SOLUTIONS,GRANBURY TX 76048-5894,,,,,api_error,Payment Required.
33531,SUNSHINE RENEWABLE SOLUTIONS LLC,HOUSTON TX 77033,,,,,api_error,Payment Required.
39795,SUNUS PRO - CLEAN ENERGY LLC,FORT WORTH TX 76109-4213,,,,,api_error,Payment Required.
