source,ccn,providerName,legalBusinessName,ownershipType,address,city,state,zipCode,telephone,averageResidentsPerDay,nurseHoursPerResidentDay,estimatedNursingFte,facilitiesInChain,chainName,targetScore,sizeRationale,nextStep
CMS nursing home provider info,145801,PLEASANT VIEW LUTHER HOME,PLEASANT VIEW LUTHER HOME INC,Non profit - Corporation,505 COLLEGE AVENUE,OTTAWA,IL,61350,8154341130,69.4,3.426,29.7,0,,98,69.4 residents × 3.426 nursing hours/resident/day ÷ 8h = 29.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,165498,Westhaven Community,WESTHAVEN COMMUNITY A MINISTRY OF THE EVANGELICAL FREE CHURCH,Non profit - Other,112 West Fourth Street,Boone,IA,50036,5154321393,59.1,4.103,30.3,0,,98,59.1 residents × 4.103 nursing hours/resident/day ÷ 8h = 30.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,175171,HERITAGE GROVE ESTATES,MCCRITE RETIREMENT ASSOCIATION,For profit - Corporation,1610 SW 37TH STREET,TOPEKA,KS,66611,7852672960,59.7,4.032,30.1,0,,98,59.7 residents × 4.032 nursing hours/resident/day ÷ 8h = 30.1 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,195394,COLONIAL MANOR NURSING & REHABILITATION HOME,COLONIAL MANOR NURSING AND REHABILITATION HOME INC,For profit - Corporation,307 FOSTER STREET,RAYVILLE,LA,71269,3187283252,60.1,3.958,29.7,0,,98,60.1 residents × 3.958 nursing hours/resident/day ÷ 8h = 29.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,195449,Legacy Nursing and Rehabilitation of Lafourche,Legal Business Name Not Available,For profit - Corporation,1002 TIGER DRIVE,THIBODAUX,LA,70301,9854472205,69.0,3.499,30.2,0,,98,69.0 residents × 3.499 nursing hours/resident/day ÷ 8h = 30.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,215058,ALICE BYRD TAWES NURSING HOME,MCCREADY FOUNDATION INC,Non profit - Corporation,201 HALL HIGHWAY,CRISFIELD,MD,21817,4109681200,69.4,3.463,30.0,0,,98,69.4 residents × 3.463 nursing hours/resident/day ÷ 8h = 30.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,225049,Pine Knoll Nursing Center,LONG TERM CENTERS OF LEXINGTON INC,For profit - Corporation,30 WATERTOWN STREET,LEXINGTON,MA,02420,7818628151,69.4,3.389,29.4,0,,98,69.4 residents × 3.389 nursing hours/resident/day ÷ 8h = 29.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,235147,Schoolcraft Medical Care Facility,SCHOOLCRAFT MEDICAL CARE FACILITY,Government - County,520 Main Street,Manistique,MI,49854,9063416921,64.4,3.513,28.3,0,,98,64.4 residents × 3.513 nursing hours/resident/day ÷ 8h = 28.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,265400,BROOKE HAVEN HEALTHCARE,WILLOW HEALTH CARE INC,Non profit - Corporation,1410 NORTH KENTUCKY AVENUE,WEST PLAINS,MO,65775,4172567975,61.1,3.886,29.7,0,,98,61.1 residents × 3.886 nursing hours/resident/day ÷ 8h = 29.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,285148,Good Shepherd Lutheran Home,BLAIR NF OPERATIONS LLC,For profit - Limited Liability company,2242 Wright Street,Blair,NE,68008,4024264663,66.1,3.499,28.9,0,,98,66.1 residents × 3.499 nursing hours/resident/day ÷ 8h = 28.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,285257,Community Memorial Health Center,COMMUNITY MEMORIAL HOSPITAL INC,Non profit - Corporation,1015 F Street,Burwell,NE,68823,3083464440,60.3,3.979,30.0,0,,98,60.3 residents × 3.979 nursing hours/resident/day ÷ 8h = 30.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,285300,Hillcrest Firethorn,"HILLCREST FIRETHORN, LLC",For profit - Corporation,8601 Firethorn Lane,Lincoln,NE,68520,5317393500,63.9,3.894,31.1,0,,98,63.9 residents × 3.894 nursing hours/resident/day ÷ 8h = 31.1 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,305081,BIRCH HEALTHCARE CENTER,PEAK HEALTHCARE AT ROCHESTER LLC,For profit - Limited Liability company,62 ROCHESTER HILL ROAD,ROCHESTER,NH,03867,6033353955,69.3,3.519,30.5,0,,98,69.3 residents × 3.519 nursing hours/resident/day ÷ 8h = 30.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,335316,ROSCOE REGIONAL REHAB & RESIDENTIAL H C F,ROSCOE REGIONAL HEALTHCARE LLC,For profit - Limited Liability company,420 ROCKLAND ROAD,ROSCOE,NY,12776,6074984121,71.7,3.355,30.1,0,,98,71.7 residents × 3.355 nursing hours/resident/day ÷ 8h = 30.1 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,366143,ADAMS COUNTY MANOR,"H&G NURSING HOMES, INC.",For profit - Corporation,10856 STATE ROUTE 41,WEST UNION,OH,45693,9375442205,69.6,3.439,29.9,0,,98,69.6 residents × 3.439 nursing hours/resident/day ÷ 8h = 29.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,366235,FAIR HAVEN SHELBY COUNTY,SHELBY COUNTY OHIO,Government - County,2901 FAIR ROAD,SIDNEY,OH,45365,9374926900,63.4,3.652,28.9,0,,98,63.4 residents × 3.652 nursing hours/resident/day ÷ 8h = 28.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,375373,"Perry Green Valley Nursing Center, LLC","PERRY GREEN VALLEY NURSING HOME, LLC",For profit - Limited Liability company,1103 Birch Street,Perry,OK,73077,5803362285,60.1,3.987,30.0,0,,98,60.1 residents × 3.987 nursing hours/resident/day ÷ 8h = 30.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,375493,Heartsworth Center For Nursing & Rehabilitation,HEARTSWORTH OPERATIONS SNF LLC,For profit - Limited Liability company,1200 West Canadian Avenue,Vinita,OK,74301,9182568768,64.2,3.612,29.0,0,,98,64.2 residents × 3.612 nursing hours/resident/day ÷ 8h = 29.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,375548,AYERS NURSING HOME,AYERS NURSING HOME INC,For profit - Corporation,801 B STREET,SNYDER,OK,73566,5805692258,66.8,3.473,29.0,0,,98,66.8 residents × 3.473 nursing hours/resident/day ÷ 8h = 29.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,395469,EMERALD NURSING AND REHABILITATION,ER 320 OPERATIONS LLC,For profit - Limited Liability company,320 SOUTH MARKET STREET,ELIZABETHTOWN,PA,17022,7173671377,66.7,3.701,30.9,0,,98,66.7 residents × 3.701 nursing hours/resident/day ÷ 8h = 30.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,415087,Greenville Operations RI LLC DBA Greenville Skille,GREENVILLE OPERATIONS RI LLC,For profit - Limited Liability company,735 Putnam Pike,Greenville,RI,02828,4019491200,68.4,3.617,30.9,0,,98,68.4 residents × 3.617 nursing hours/resident/day ÷ 8h = 30.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,425312,MUSC Health Mullins Nursing Home,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,Government - State,518 S Main Street,Mullins,SC,29574,8434648211,66.9,3.676,30.7,0,,98,66.9 residents × 3.676 nursing hours/resident/day ÷ 8h = 30.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,535025,Polaris Rehabilitation and Care Center,NORTH BIG HORN HOSPITAL DISTRICT,For profit - Limited Liability company,2700 E 12th Street,Cheyenne,WY,82001,3076347986,69.3,3.494,30.3,0,,98,69.3 residents × 3.494 nursing hours/resident/day ÷ 8h = 30.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,555767,BELLAKEN SKILLED NURSING CENTER,"BELLAKEN HEALTH GROUP, INC.",For profit - Corporation,2780 26TH AVENUE,OAKLAND,CA,94601,5105361838,59.1,4.085,30.2,0,,98,59.1 residents × 4.085 nursing hours/resident/day ÷ 8h = 30.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,676229,TRUCARE LIVING CENTERS-COLUMBUS,FANNIN COUNTY HOSPITAL AUTHORITY,For profit - Corporation,1511 MONTEZUMA STREET,COLUMBUS,TX,78934,9797330500,70.1,3.408,29.9,0,,98,70.1 residents × 3.408 nursing hours/resident/day ÷ 8h = 29.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,015149,SUNSET MANOR,SOUTHERN CARE LLC,For profit - Corporation,251 SUNSET PLACE,GUIN,AL,35563,2054683331,56.5,4.206,29.7,0,,97,56.5 residents × 4.206 nursing hours/resident/day ÷ 8h = 29.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,045214,Hudson Memorial Nursing Home,HUDSON MEMORIAL NURSING HOME,Government - County,700 N. COLLEGE AVENUE,EL DORADO,AR,71730,8708638131,60.4,4.131,31.2,0,,97,60.4 residents × 4.131 nursing hours/resident/day ÷ 8h = 31.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,045417,ARKANSAS VETERANS HOME AT FAYETTEVILLE,STATE OF ARKANSAS,Government - State,1179 NORTH COLLEGE AVENUE,FAYETTEVILLE,AR,72703,4794447001,56.8,4.283,30.4,0,,97,56.8 residents × 4.283 nursing hours/resident/day ÷ 8h = 30.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,055662,BETHANY HOME SOCIETY SAN JOAQUIN COUNTY,"BETHANY HOME SOCIETY OF SAN JOAQUIN COUNTY, INC.",Non profit - Corporation,930 WEST MAIN STREET,RIPON,CA,95366,2095994221,56.0,4.312,30.2,0,,97,56.0 residents × 4.312 nursing hours/resident/day ÷ 8h = 30.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,055975,Hillcrest Manor Sanitarium,IMAGINATIVE HORIZONS INC,For profit - Corporation,1889 NATIONAL CITY BLVD.,NATIONAL CITY,CA,91950,6194771176,56.4,4.227,29.8,0,,97,56.4 residents × 4.227 nursing hours/resident/day ÷ 8h = 29.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,056019,Gardena Convalescent Center,B & E CONVALESCENT CENTER INC,For profit - Corporation,14819 S. VERMONT,GARDENA,CA,90247,3105329460,59.7,4.167,31.1,0,,97,59.7 residents × 4.167 nursing hours/resident/day ÷ 8h = 31.1 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,065394,BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME,STATE OF COLORADO,Government - State,903 MOORE DR,FLORENCE,CO,81226,7197846331,60.8,3.774,28.7,0,,97,60.8 residents × 3.774 nursing hours/resident/day ÷ 8h = 28.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,075074,HAVENCARE AT FILOSA,FILOSA OPCO LLC,For profit - Limited Liability company,13 HAKIM ST,DANBURY,CT,06810,2037443366,58.8,4.023,29.6,0,,97,58.8 residents × 4.023 nursing hours/resident/day ÷ 8h = 29.6 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,075236,NOBLE HORIZONS,"CHURCH HOMES, INC. CONGREGATIONAL",Non profit - Corporation,17 COBBLE RD,SALISBURY,CT,06068,8604359851,61.2,3.736,28.6,0,,97,61.2 residents × 3.736 nursing hours/resident/day ÷ 8h = 28.6 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,085031,ENCORE AT WILMINGTON,SNH DEL TENANT LLC,For profit - Corporation,2723 SHIPLEY ROAD,WILMINGTON,DE,19810,3024790111,65.4,3.954,32.3,0,,97,65.4 residents × 3.954 nursing hours/resident/day ÷ 8h = 32.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,08A020,NEWARK MANOR NURSING HOME,Legal Business Name Not Available,For profit - Individual,254 WEST MAIN STREET,NEWARK,DE,19711,3027315576,56.1,4.268,29.9,0,,97,56.1 residents × 4.268 nursing hours/resident/day ÷ 8h = 29.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,105805,RADIANT NURSING AND REHAB AT PALATKA,PALATKA NURSING AND REHAB OP LLC,For profit - Limited Liability company,501 S PALM AVE,PALATKA,FL,32177,3863281472,56.6,4.216,29.8,0,,97,56.6 residents × 4.216 nursing hours/resident/day ÷ 8h = 29.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,145000,WASHINGTON SENIOR LIVING,WASHINGTON SENIOR LIVING LLC,For profit - Limited Liability company,1201 NEWCASTLE,WASHINGTON,IL,61571,3094443161,65.0,3.420,27.8,0,,97,65.0 residents × 3.420 nursing hours/resident/day ÷ 8h = 27.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,145004,CRESCENT CARE OF ELGIN,CRESCENT CARE NURSING AND REHABILITATION OF ELGIN LLC,For profit - Limited Liability company,180 SOUTH STATE STREET,ELGIN,IL,60123,8477423310,70.9,3.464,30.7,0,,97,70.9 residents × 3.464 nursing hours/resident/day ÷ 8h = 30.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,146194,THRIVE OF FOX VALLEY,"IH FOX VALLEY OPCO, LLC",For profit - Corporation,4020 E NEW YORK STREET,AURORA,IL,60504,3313015590,65.8,3.955,32.5,0,,97,65.8 residents × 3.955 nursing hours/resident/day ÷ 8h = 32.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,155073,PILGRIM MANOR,ADAMS COUNTY MEMORIAL HOSPITAL,Government - County,222 PARKVIEW ST,PLYMOUTH,IN,46563,5749369943,64.7,3.433,27.8,0,,97,64.7 residents × 3.433 nursing hours/resident/day ÷ 8h = 27.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,155607,BETHEL MANOR,HENRY COUNTY MEMORIAL HOSPITAL,Government - County,6015 KRATZVILLE RD,EVANSVILLE,IN,47710,8124258182,55.8,4.313,30.1,0,,97,55.8 residents × 4.313 nursing hours/resident/day ÷ 8h = 30.1 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,165266,Holy Spirit Retirement Home,HOLY SPIRIT RETIREMENT HOME INC,Non profit - Corporation,1701 West 25th Street,Sioux City,IA,51103,7122522726,60.9,4.093,31.2,0,,97,60.9 residents × 4.093 nursing hours/resident/day ÷ 8h = 31.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,165269,Clearview Home,CLEARVIEW - ROUTH LP,For profit - Partnership,406 West Washington,Mount Ayr,IA,50854,6414642240,72.2,3.252,29.3,0,,97,72.2 residents × 3.252 nursing hours/resident/day ÷ 8h = 29.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,165479,Calvin Community,CALVIN COMMUNITY,Non profit - Corporation,4210 Hickman Road,Des Moines,IA,50310,5152776141,59.0,4.188,30.9,0,,97,59.0 residents × 4.188 nursing hours/resident/day ÷ 8h = 30.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,175376,APOSTOLIC CHRISTIAN HOME,APOSTOLIC CHRISTIAN HOME,Non profit - Church related,511 PARAMOUNT STREET,SABETHA,KS,66534,7852843471,58.6,4.153,30.4,0,,97,58.6 residents × 4.153 nursing hours/resident/day ÷ 8h = 30.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,185336,Springfield Nursing and Rehabilitation Center,SPRINGFIELD HEALTH CENTER LLC,For profit - Individual,420 East Grundy Avenue,Springfield,KY,40069,8593367771,62.6,4.024,31.5,0,,97,62.6 residents × 4.024 nursing hours/resident/day ÷ 8h = 31.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,185436,Wellington Parc of Owensboro,"WELLINGTON PARC HEALTH SYSTEMS, INC.",For profit - Limited Liability company,2885 New Hartford Road,Owensboro,KY,42303,2706852374,68.8,3.682,31.7,0,,97,68.8 residents × 3.682 nursing hours/resident/day ÷ 8h = 31.7 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,195314,"JEFF DAVIS LIVING CENTER, LLC","JEFF DAVIS LIVING CENTER, LLC",For profit - Limited Liability company,1338 NORTH CUTTING AVENUE,JENNINGS,LA,70546,3378243165,70.8,3.438,30.4,0,,97,70.8 residents × 3.438 nursing hours/resident/day ÷ 8h = 30.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,195566,OLLIE STEELE BURDEN MANOR,OLLIE STEELE BURDEN MANOR INC,Non profit - Church related,4250 ESSEN LANE,BATON ROUGE,LA,70809,2259260091,61.3,3.687,28.3,0,,97,61.3 residents × 3.687 nursing hours/resident/day ÷ 8h = 28.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
