"employer_id","employer_name","pattern","host","path_prefix","unique_urls","captures","first_seen","last_seen","score","aliases","accept","notes"
"first-solar","First Solar","firstsolar.wd1.myworkdayjobs.com/*","firstsolar.wd1.myworkdayjobs.com","/","1","1","2020-07-04 14:24:42","2020-07-04 14:24:42","6","firstsolar","narrowed","Host is valid First Solar Workday, but root is too broad. Registry uses job-detail prefixes /en-US/FirstSolar/job/* and /FirstSolar/job/*."
"first-solar","First Solar","www.firstsolar.com/Careers/*","www.firstsolar.com","/Careers/","1","1","2020-07-16 12:48:39","2020-07-16 12:48:39","6","firstsolar","duplicate","Case-only duplicate of existing www.firstsolar.com/careers/*; URL-index matching is case-insensitive on path."
"first-solar","First Solar","www.firstsolar.com/en-AU/Careers/*","www.firstsolar.com","/en-AU/Careers/","1","1","2020-07-08 07:37:50","2020-07-08 07:37:50","6","firstsolar","no","Australia-specific First Solar careers route; exclude from US corpus."
"first-solar","First Solar","www.firstsolar.com/en/Careers/*","www.firstsolar.com","/en/Careers/","1","1","2020-07-08 08:09:33","2020-07-08 08:09:33","6","firstsolar","no","Localized careers landing route, not a demonstrated job-detail source."
"first-solar","First Solar","www.firstsolar.com/es-CSA/Careers/*","www.firstsolar.com","/es-CSA/Careers/","1","1","2020-07-08 07:20:58","2020-07-08 07:20:58","6","firstsolar","no","Non-US localized careers route; exclude."
"first-solar","First Solar","www.firstsolar.com/ja-JP/Careers/*","www.firstsolar.com","/ja-JP/Careers/","1","1","2020-07-16 14:53:59","2020-07-16 14:53:59","6","firstsolar","no","Japan-specific careers route; exclude."
"first-solar","First Solar","www.firstsolar.com/pt-BR/Careers/*","www.firstsolar.com","/pt-BR/Careers/","1","1","2020-07-16 13:33:31","2020-07-16 13:33:31","6","firstsolar","no","Brazil-specific careers route; exclude."
"lightsource-bp","Lightsource bp","www.lightsourcebp.com/au/careers/*","www.lightsourcebp.com","/au/careers/","1","1","2020-07-12 07:15:16","2020-07-12 07:15:16","6","lightsourcebp","no","Australia-specific career route; exclude from US corpus."
"lightsource-bp","Lightsource bp","www.lightsourcebp.com/eg/careers/*","www.lightsourcebp.com","/eg/careers/","1","1","2020-07-12 06:56:11","2020-07-12 06:56:11","6","lightsourcebp","no","Egypt-specific career route; exclude from US corpus."
"lightsource-bp","Lightsource bp","www.lightsourcebp.com/uk/careers/*","www.lightsourcebp.com","/uk/careers/","1","1","2020-07-12 02:12:27","2020-07-12 02:12:27","6","lightsourcebp","no","UK-specific career route; exclude from US corpus."
"nexamp","Nexamp","www.nexamp.com/careers/*","www.nexamp.com","/careers/","1","1","2020-07-11 21:32:12","2020-07-11 21:32:12","6","nexamp","duplicate","Already present in the employer registry; no new historical source."
"nextracker","Nextracker","flextronics.wd1.myworkdayjobs.com/*","flextronics.wd1.myworkdayjobs.com","/","1","1","2020-07-16 15:48:15","2020-07-16 15:48:15","6","nextracker","narrowed","Host is valid for historical Nextracker jobs while Nextracker was under Flex, but root would mix all Flex jobs. Registry uses /Nextracker_Careers/job/*."
"sunpower","SunPower","us.sunpower.com/company/careers/*","us.sunpower.com","/company/careers/","1","1","2020-07-08 14:36:46","2020-07-08 14:36:46","6","sunpower","no","First-party SunPower career landing page, but not a demonstrated job-detail route and existing SunPower historical sources are stronger."
"sunrun","Sunrun","careers-sunrun.icims.com/jobs/*","careers-sunrun.icims.com","/jobs/","1","1","2020-07-03 13:26:55","2020-07-03 13:26:55","6","sunrun","yes","Validated historical Sunrun iCIMS job-detail host; historical job links corroborate it."
"vivint-solar","Vivint Solar","www.vivintsolar.com/careers/*","www.vivintsolar.com","/careers/","1","1","2020-07-14 13:53:24","2020-07-14 13:53:24","6","vivintsolar","duplicate","Already present in the employer registry; no new historical source."
